名称,仕様,単位,見積単価,仕入単価,カテゴリ,備考
労務費　昼間作業,日間×人程度,工数,42000,35000,労務費,
労務費　夜間作業,日間×人程度,工数,54000,45000,労務費,
Access Control Panel 新設,エンクロージャー取付/基板実装/ケーブル結線,箇所,250000,,労務費,
Camera 新設,ルート構築/配線/設置/画角調整,台,120000,,労務費,
Camera 移設,移設/設置/画角調整　※場合によっては配線・ルート構築,台,90000,,労務費,
Camera 画角調整,,台,25000,,労務費,
Camera 撤去,,台,40000,,労務費,
Security device 新設,配線ルート構築/配線/設置,台,80000,,労務費,
Security device 移設,移設/設置　※場合によっては配線・ルート構築,台,60000,,労務費,
Security device 撤去,,台,30000,,労務費,
電気錠 設置,電気錠扉加工/扉内通線,箇所,95000,,労務費,
