名称,仕様,単位,見積単価,仕入単価,カテゴリ,備考
現地基本調査費 20世帯まで,,棟,10000,,労務費,
現地基本調査費 21世帯～50世帯まで,,棟,18000,,労務費,
現地基本調査費 51世帯～150世帯まで,,棟,25000,,労務費,
現地基本調査費 2案又はSPES,,棟,15000,,労務費,
現地基本調査費 回線引き込み通線確認・呼び線,,棟,10000,,労務費,
現地基本調査費（単独） 回線引き込み通線確認・呼び線,,棟,15000,,労務費,
共用部BOX設置工事費（基本）,,棟,62000,,労務費,
宅内工事費（貫通あり）,,式,20000,,労務費,
宅内工事費　貫通費,,式,35000,,労務費,
交通費,,km,70,,共通費,
