名称,仕様,単位,見積単価,仕入単価,カテゴリ,備考
ネット工事費,○世帯,戸,10000,,労務費,
ネット工事費,20世帯以上の場合,戸,7000,,労務費,
IPカメラ設置,○台,台,10000,,労務費,
IPカメラ設置,配線無し,台,5000,,労務費,
モニター出力ケーブル,,式,12000,,労務費,
モニター設置,,台,15000,,労務費,
コンバーター設置,,式,5000,,労務費,
先行配線費,,式,15000,,労務費,
回線立会,,式,15000,,労務費,
追加部材費,,式,,,労務費,
